"","comm.rank..","name","Class","Object","Field","Default","Minimum","Maximum","Distribution","Type","Group","Constraint","p20","p80"
"74",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom224_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"75",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom301_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"76",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom302_305_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"77",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom306_308_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"78",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom309_312_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"79",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom314_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"80",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom315_318_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"81",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom319_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"82",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom320_323_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"83",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom324_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"84",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom401_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"85",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom402_405_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"86",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom406_408_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"87",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom409_412_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"88",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom413_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"89",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom414_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"90",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom415_418_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"91",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom419_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"92",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom420_423_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"93",0,"11_SmallHotel.xml.csv","ElectricEquipment","GuestRoom424_PlugMisc_Equip","Watts per Zone Floor Area",14.3,10.01,18.59,"uniform","float",2,"",11.726,16.874
"94",0,"11_SmallHotel.xml.csv","ElectricEquipment","MeetingRoomFlr1_PlugMisc_Equip","Watts per Zone Floor Area",12.9,9.03,16.77,"uniform","float",1,"",10.578,15.222
"95",0,"11_SmallHotel.xml.csv","ElectricEquipment","RestroomFlr1_PlugMisc_Equip","Watts per Zone Floor Area",10.76,7.532,13.988,"uniform","float",2,"",8.8232,12.6968
"96",0,"11_SmallHotel.xml.csv","Fan:ConstantVolume","PSZ-HEATCOOL:10_Fan","Fan Efficiency",0.53625,0.375375,0.697125,"uniform","float",3,"",0.439725,0.632775
