Class,Object,Field,Default,Minimum,Maximum,Distribution,Type,Group,Constraint
ElectricEquipment,GuestRoom401_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom402_405_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom406_408_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom409_412_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom413_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom414_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom415_418_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom419_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom420_423_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,GuestRoom424_PlugMisc_Equip,Watts per Zone Floor Area,14.3,10.01,18.59,uniform,float,G0004,
ElectricEquipment,LaundryRoomFlr1_LaundryWashers_Equip,Design Level,2140,1498,2782,uniform,float,,
ElectricEquipment,MeetingRoomFlr1_PlugMisc_Equip,Watts per Zone Floor Area,12.9,9.03,16.77,uniform,float,,
ElectricEquipment,RestroomFlr1_PlugMisc_Equip,Watts per Zone Floor Area,10.76,7.532,13.988,uniform,float,,
GasEquipment,LaundryRoomFlr1_LaundryDryers_Equip,Design Level,18025,12617.5,23432.5,uniform,float,,
Exterior:Lights,Exterior Facade Lighting,Design Level,7536,5275.2,9796.8,uniform,float,,
ZoneInfiltration:DesignFlowRate,CorridorFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,CorridorFlr2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,CorridorFlr3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,CorridorFlr4_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,ElevatorCoreFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,ElevatorCoreFlr2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,ElevatorCoreFlr3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,ElevatorCoreFlr4_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,EmployeeLoungeFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,ExerciseCenterFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,FrontLoungeFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,FrontOfficeFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,FrontStairsFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,FrontStairsFlr2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,FrontStairsFlr3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,FrontStairsFlr4_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,FrontStorageFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,FrontStorageFlr2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,FrontStorageFlr3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,FrontStorageFlr4_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom101_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom102_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom103_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom104_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom105_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom201_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom202_205_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom206_208_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom209_212_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom213_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom214_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom215_218_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom219_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom220_223_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom224_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom301_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom302_305_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom306_308_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom309_312_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom313_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom314_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom315_318_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom319_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom320_323_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom324_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom401_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom402_405_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom406_408_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom409_412_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom413_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom414_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom415_418_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom419_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom420_423_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,GuestRoom424_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,LaundryRoomFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,MechanicalRoomFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,MeetingRoomFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,RearStairsFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,RearStairsFlr2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,RearStairsFlr3_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,RearStairsFlr4_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,RearStorageFlr1_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
ZoneInfiltration:DesignFlowRate,RearStorageFlr2_Infiltration,Flow per Exterior Surface Area,0.000302,0.000211,0.000393,uniform,float,G0005,
